date,device,device_type,failure,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9
2015-03-25,S1F0S4T6,S,1,83475000,0,0,0,9,271462,0,0,0
2015-06-23,S1F10PED,S,0,231865384,0,0,0,5,214437,0,0,0
2015-03-28,S1F0LCKH,S,0,132680584,0,0,0,12,480887,0,0,0
2015-04-21,S1F0RSZP,S,1,220805016,0,0,0,13,272554,0,0,0
2015-01-06,S1F10NDB,S,0,45757048,0,0,0,8,205262,0,0,0
2015-04-21,S1F118JP,S,0,189237344,0,0,0,7,213712,0,0,0
2015-04-24,S1F13HPP,S,0,75247952,0,0,0,10,225069,0,0,2
2015-03-03,S1F0RSMR,S,0,60251856,0,0,0,9,270877,0,0,26
2015-01-01,S1F11AXR,S,0,90950360,0,0,0,11,202251,0,0,0
2015-04-24,S1F122HQ,S,0,77334032,0,0,0,11,215067,0,0,1
2015-02-01,S1F13635,S,0,174563248,0,0,0,24,253352,0,0,0
2015-08-14,S1F0H6JG,S,0,219650048,0,0,0,8,291906,0,0,0
2015-02-25,S1F133YJ,S,0,172399032,0,0,0,13,245138,0,0,0
2015-05-08,S1F0RR35,S,1,130852088,200,0,0,16,285511,0,0,0
2015-08-09,S1F136BS,S,0,60535968,0,0,0,9,250977,0,0,0
2015-04-12,S1F10NM6,S,0,240751656,0,0,0,14,342461,0,0,0
2015-04-03,S1F0GKL6,S,0,85946024,0,0,0,90,241386,0,0,0
2015-03-11,S1F100R5,S,0,221325040,0,0,0,7,248625,0,0,0
2015-04-21,S1F0J5JH,S,0,189598872,0,0,0,8,255816,0,0,0
2015-06-16,S1F135F3,S,0,124041352,0,0,0,16,354039,0,0,0
2015-04-27,S1F0S382,S,0,51392640,0,0,0,13,272000,0,0,0
2015-01-03,S1F0DSTY,S,0,51202560,0,0,0,11,439310,0,0,0
2015-01-23,S1F0S34C,S,0,43150008,0,1331,0,13,222513,0,0,34
2015-09-11,S1F0TP8F,S,0,240525832,0,0,0,13,379631,0,0,8
2015-05-05,S1F13589,S,1,89059312,0,0,0,16,338615,0,0,0
2015-07-28,S1F11K34,S,0,236214600,0,0,0,16,362913,0,0,0
2015-03-04,S1F1318D,S,0,130752240,4960,0,0,13,89385,0,0,0
2015-05-21,S1F10QDG,S,0,94376400,0,0,0,5,234360,0,0,0
2015-10-01,S1F0Y8MA,S,0,47170248,0,0,0,8,247382,0,0,0
2015-01-09,S1F0RSMR,S,0,119684784,0,0,0,9,253844,0,0,26
2015-01-17,S1F0PJAJ,S,0,101977848,0,0,0,12,266803,0,0,0
2015-03-08,S1F0PL0R,S,0,200276648,0,0,0,6,247507,0,0,0
2015-03-17,S1F0TQR9,S,0,111765336,0,0,0,11,195554,0,0,0
2015-02-14,S1F135F3,S,0,111280096,0,0,0,14,339559,0,0,0
2015-05-07,S1F0F4EB,S,1,243261216,0,0,0,10,255731,0,0,3
2015-04-09,S1F0JD7P,S,1,149712120,2336,0,1,58,244390,0,0,0
2015-05-06,S1F0RS3B,S,0,104190272,0,0,0,7,275164,0,0,0
2015-04-21,S1F135WP,S,0,9992912,0,0,0,11,216716,0,0,0
2015-01-02,S1F135CE,S,0,174920064,0,0,0,11,402186,0,0,0
2015-07-09,S1F0S65X,S,1,105454456,160,0,0,8,273634,8,8,0
2015-07-05,S1F136A5,S,0,204246464,0,0,0,12,219148,0,0,0
2015-02-25,S1F12ZRR,S,0,220448648,0,0,0,8,249141,0,0,0
2015-03-30,S1F135SZ,S,0,141469952,0,0,0,9,227070,0,0,0
2015-02-26,S1F0FZ8F,S,0,206064912,0,0,0,8,223621,0,0,0
2015-04-01,S1F0DKAN,S,0,80658600,0,0,0,6,281677,0,0,0
2015-01-17,S1F1021H,S,0,139096080,0,0,0,11,242866,0,0,0
2015-07-04,S1F0GCED,S,0,131064208,0,0,6,9,266638,0,0,0
2015-01-03,S1F0TNSA,S,0,63244424,0,0,0,11,245385,0,0,0
2015-08-05,S1F0S517,S,0,31267888,0,0,0,8,260117,0,0,0
2015-02-14,S1F130JB,S,0,215993776,0,0,0,9,213106,0,0,0
2015-02-05,S1F135DN,S,0,18245600,0,0,0,10,424213,0,0,0
2015-06-05,S1F1162D,S,0,125724408,0,0,0,7,247130,0,0,0
2015-07-17,S1F0R3JV,S,0,205953400,0,0,0,9,237715,0,0,0
2015-02-28,S1F135WP,S,0,113353400,0,0,0,11,216691,0,0,0
2015-01-19,S1F0S2WJ,S,1,238299872,1184,0,0,14,268662,8,8,0
2015-07-10,S1F044ET,S,0,155655992,0,0,0,5,255368,0,0,0
2015-08-11,S1F0M2PQ,S,0,219719072,0,0,6,60,251487,0,0,0
2015-03-10,S1F0F4EB,S,0,121449456,0,0,0,10,228476,0,0,3
2015-01-31,S1F0RSMR,S,0,139855512,0,0,0,9,270846,0,0,26
2015-02-05,S1F0G9ZF,S,0,163432664,0,0,0,70,240127,0,0,0
2015-01-31,S1F0YX6Z,S,0,195088656,0,0,0,8,212195,0,0,1
2015-04-06,S1F0S57T,S,1,151565000,0,0,0,8,274829,72,72,0
2015-07-20,S1F0M2PQ,S,0,116736144,0,0,6,60,251264,0,0,0
2015-05-09,S1F0H6JG,S,0,208829312,0,0,0,8,247122,0,0,0
2015-07-10,S1F0RS3B,S,0,213999680,0,0,0,7,277993,0,0,0
2015-01-19,S1F023H2,S,1,64499464,0,0,1,19,514661,16,16,3
2015-02-25,S1F10AS0,S,0,242782128,0,0,0,10,429028,0,0,0
2015-06-21,S1F0FP0C,S,0,235108944,0,0,0,10,269386,0,0,0
2015-10-10,S1F10RWZ,S,0,191338336,0,0,0,14,350284,0,0,0
2015-01-06,S1F0S6FZ,S,0,191944520,0,220,0,8,249502,0,0,24
2015-04-30,S1F0S68M,S,0,209705232,0,0,0,11,225306,0,0,0
2015-05-28,S1F0GSD9,S,1,193511720,0,0,0,12,256774,0,0,0
2015-04-07,S1F0GV0W,S,0,51299208,0,5,6,95,241704,0,0,0
2015-07-27,S1F0R3JV,S,0,24498144,0,0,0,9,238334,0,0,0
2015-05-13,S1F0GKL6,S,1,160459104,0,0,2,90,249366,0,0,0
2015-01-26,S1F0LCTV,S,1,47001646,0,0,7,12,468887,0,0,0
2015-05-04,S1F0QY0Q,S,0,93949872,0,0,0,6,230626,0,0,6
2015-07-31,S1F135F3,S,0,38522872,0,0,0,16,365481,0,0,0
2015-07-12,S1F1360P,S,0,26114696,0,0,0,14,274987,0,0,0
2015-10-18,S1F0E9EP,S,0,110815704,0,0,0,10,343469,0,0,0
2015-08-04,S1F101MC,S,0,134334176,0,0,0,10,248019,0,0,6
2015-05-10,S1F11S5B,S,0,17471560,0,0,0,11,213322,0,0,0
2015-01-23,S1F0TP8F,S,0,20075576,0,0,0,12,324516,0,0,8
2015-01-04,S1F0SBHA,S,0,242723608,0,0,0,12,244800,0,0,1
2015-05-29,S1F0FGBQ,S,0,198918408,0,0,0,10,225048,0,0,0
2015-01-20,S1F135SZ,S,0,50521432,0,0,0,9,227042,0,0,0
2015-05-13,S1F10FZB,S,0,78452128,0,0,0,19,355074,0,0,0
2015-01-26,S1F0PF59,S,0,125823688,0,0,0,6,270112,0,0,0
2015-05-03,S1F0R4Q8,S,0,244008120,0,0,0,8,211701,0,0,0
2015-04-12,S1F0EGMT,S,0,150738560,0,0,0,10,245463,0,0,0
2015-06-19,S1F0AADQ,S,0,233370736,0,0,0,8,409688,0,0,1
2015-03-07,S1F10VP8,S,0,121529128,0,12,0,25,216876,0,0,0
2015-10-09,S1F0Y8MA,S,0,186081584,0,0,0,8,248582,0,0,0
2015-02-14,S1F13635,S,0,107191032,0,0,0,24,253360,0,0,0
2015-04-26,S1F0AEFT,S,0,112114392,0,0,0,10,418113,0,0,0
2015-01-07,S1F0H6JJ,S,0,38447736,0,0,0,32,257905,0,0,2
2015-06-11,S1F116J4,S,0,234428448,0,0,0,21,354681,0,0,0
2015-03-08,S1F0RSWJ,S,0,174263864,0,0,0,12,273298,0,0,0
2015-03-10,S1F0LCVC,S,0,11760848,0,0,0,8,218968,0,0,0
2015-08-02,S1F13K8E,S,0,204951112,0,0,0,12,247339,0,0,0
2015-01-16,S1F0LCTV,S,0,67446832,0,0,1,11,467077,0,0,0
2015-01-18,S1F12XGM,S,0,199130328,0,0,0,8,251008,0,0,1
2015-02-15,S1F136A5,S,0,229344680,0,0,0,12,216034,0,0,0
2015-03-15,S1F0S5CE,S,0,15061672,0,0,6,9,283513,0,0,0
2015-06-24,S1F02A0J,S,0,34149448,0,1,0,15,331830,0,0,0
2015-05-13,S1F0R3JV,S,0,88128760,0,0,0,9,230990,0,0,0
2015-06-08,S1F0JMRJ,S,0,233940144,0,0,30,40,337715,0,0,14
2015-01-27,S1F0RR7L,S,0,131462528,0,0,0,13,270102,0,0,0
2015-08-22,S1F0KYCR,S,0,116133104,0,0,0,10,298080,0,0,0
2015-02-26,S1F0GV0W,S,0,78731792,0,5,6,95,241683,0,0,0
2015-01-07,S1F12Y53,S,0,910856,2336,0,0,8,188766,0,0,0
2015-03-05,S1F10HH5,S,0,144297912,0,0,0,9,418221,0,0,0
2015-01-08,S1F13635,S,0,234781432,0,0,0,24,244364,0,0,0
2015-01-16,S1F0F4G4,S,0,71515440,0,0,0,10,306150,0,0,2
2015-03-08,S1F10GSG,S,0,140892704,0,0,0,9,222682,0,0,0
2015-01-02,S1F0LC06,S,0,234164456,0,0,0,6,207785,0,0,0
2015-03-09,S1F101SP,S,0,52765288,0,0,0,8,222140,0,0,0
2015-04-23,S1F0QF3R,S,0,126385680,0,0,30,12,227423,0,0,1
2015-05-26,S1F11C16,S,0,151648752,0,0,0,8,232409,0,0,0
2015-08-05,S1F0GCED,S,0,29887672,0,0,6,9,298354,0,0,0
2015-01-17,S1F0FGBQ,S,0,108504640,0,0,0,9,187868,0,0,0
2015-04-27,S1F13HPP,S,0,103705656,0,0,0,10,225069,0,0,2
2015-07-20,S1F0LD15,S,1,241057576,4360,0,11,6,331568,8,8,0
2015-01-15,S1F0JMRJ,S,0,161540024,0,0,0,39,273561,0,0,14
2015-01-10,S1F11DBJ,S,0,139503552,0,0,0,12,240938,0,0,0
2015-09-23,S1F0YX6Z,S,0,7313728,0,0,0,8,238915,0,0,1
2015-01-07,S1F0PJJW,S,0,71570568,0,0,0,6,247099,0,0,0
2015-03-04,S1F134QM,S,0,166259912,0,0,0,12,248816,0,0,2
2015-08-14,S1F0Y8MA,S,0,200492784,0,0,0,8,218690,0,0,0
2015-02-06,S1F13432,S,0,64256632,0,0,0,8,229727,0,0,0
2015-07-07,S1F0GCED,S,0,75467320,0,0,6,9,266638,0,0,0
2015-03-20,S1F0QXXH,S,0,83659744,0,0,0,13,244551,0,0,2
2015-01-20,S1F0P3G2,S,1,178102642,10288,0,48,8,261020,424,424,1
2015-07-28,S1F100R5,S,0,185876624,0,0,0,7,289593,0,0,0
2015-03-17,S1F0GKL6,S,0,174848416,0,0,0,90,241376,0,0,0
2015-02-08,S1F10V1N,S,0,170105752,0,0,0,10,421293,0,0,0
2015-03-25,S1F0S57T,S,0,164246280,0,0,0,8,260292,0,0,0
2015-06-10,S1F0RS81,S,0,38075464,0,0,0,13,277342,0,0,0
2015-05-10,S1F0S58D,S,0,242761496,0,0,0,12,224853,0,0,0
2015-02-14,S1F0DSTY,S,1,97170872,2576,0,60,12,462175,0,0,0
2015-08-25,S1F10NM6,S,0,82894456,0,0,0,16,373200,0,0,0
2015-03-09,S1F0TP5E,S,0,122339064,0,2693,0,10,284444,0,0,2522
2015-02-21,S1F10BRH,S,0,122841520,0,0,0,10,219415,0,0,0
2015-07-30,S1F135TN,S,1,61914048,21200,0,1,16,349173,8,8,0
2015-02-09,S1F0LCVC,S,0,123804312,0,0,0,8,218957,0,0,0
2015-02-26,S1F0GJW3,S,0,52492560,0,0,0,9,229575,0,0,0
2015-03-25,S1F0SAB1,S,0,200606944,0,0,0,13,244582,0,0,0
2015-10-29,S1F0FP0C,S,0,162106016,0,0,0,12,353413,0,0,0
2015-07-11,S1F0S58D,S,0,131397712,0,0,0,12,237567,0,0,0
2015-03-08,S1F1021H,S,0,36245328,0,0,0,11,248101,0,0,0
2015-05-21,S1F0S387,S,0,131881528,0,2,0,12,271920,0,0,34
2015-10-19,S1F118JP,S,0,73381288,0,0,0,7,260077,0,0,0
2015-02-01,S1F0EGMT,S,0,1248712,0,0,0,10,223392,0,0,0
2015-02-11,S1F114QM,S,0,122917520,0,0,0,9,423183,0,0,0
2015-08-02,S1F135WP,S,0,180340408,0,0,0,11,219635,0,0,0
2015-01-09,S1F0FGBQ,S,0,202862352,0,0,0,9,179767,0,0,0
2015-07-20,S1F0TP5E,S,0,220449512,0,2693,0,12,302814,0,0,2522
2015-06-10,S1F13MAM,S,0,197073456,0,0,0,8,246591,0,0,0
2015-01-18,S1F0GG8X,S,1,54292264,64736,0,160,11,192179,0,0,2
2015-01-05,S1F0S1QK,S,0,82852400,0,0,0,7,384650,0,0,5
2015-09-28,S1F10RWZ,S,0,48608080,0,0,0,13,343823,0,0,0
2015-01-11,S1F0S6HH,S,0,202971984,0,0,0,8,309628,0,0,3
2015-03-06,S1F0LD15,S,0,194732104,0,0,0,6,310902,0,0,0
2015-02-18,S1F13B32,S,0,223841832,0,0,0,24,243486,0,0,0
2015-03-30,S1F0S6FZ,S,0,88927872,0,220,0,8,271130,0,0,24
2015-01-04,S1F01XDJ,S,0,45476376,0,0,0,8,406531,0,0,0
2015-02-25,S1F0LD2C,S,0,52883600,0,0,0,13,467240,0,0,0
2015-08-08,S1F0R4Q8,S,0,87378928,0,0,0,9,233902,0,0,0
2015-08-15,S1F122HQ,S,0,38917024,0,0,0,11,220290,0,0,1
2015-08-09,S1F135SZ,S,0,131108616,0,0,0,9,258297,0,0,0
2015-02-08,S1F0TQQ1,S,0,230231032,0,0,0,12,274262,0,0,0
2015-02-13,S1F0S6HH,S,0,107125280,0,0,0,8,316441,0,0,3
2015-05-04,S1F0TP82,S,0,168497952,0,0,0,8,267854,0,0,0
2015-05-05,S1F136J0,S,1,131519808,0,0,25,16,343464,8,8,0
2015-07-23,S1F0T2LA,S,1,146996384,440,0,1,10,290027,0,0,0
2015-04-27,S1F0DKAN,S,0,197268072,0,0,0,6,281684,0,0,0
2015-06-18,S1F135SZ,S,0,54679872,0,0,0,9,233596,0,0,0
2015-05-11,S1F0S517,S,0,194914360,0,0,0,8,240465,0,0,0
2015-10-08,S1F122HQ,S,0,111266296,0,0,0,12,250796,0,0,1
2015-01-30,S1F0RR2E,S,0,133344680,0,0,0,8,272063,0,0,0
2015-05-16,S1F0L0DW,S,0,83639472,0,0,0,8,315093,0,0,0
2015-04-28,S1F11Y4K,S,0,98271800,0,0,0,14,326168,0,0,0
2015-01-02,S1F135DG,S,0,162499744,0,0,0,11,198703,0,0,3
2015-04-01,S1F102L8,S,0,6137888,0,0,0,9,194868,0,0,0
2015-07-03,S1F10GSG,S,0,78670760,0,0,0,9,241392,0,0,0
2015-01-03,S1F11CJC,S,0,155570024,0,0,0,13,229604,0,0,0
2015-01-28,S1F0RSG7,S,0,101214960,0,406,0,12,324004,0,0,2637
2015-06-20,S1F0EEP2,S,0,73099120,0,0,0,17,269095,0,0,0
2015-02-08,S1F02A0J,S,0,186488384,0,1,0,15,326541,0,0,0
2015-02-16,S1F122HQ,S,0,71653504,0,0,0,11,212060,0,0,1
2015-05-16,S1F0H6JG,S,0,241998544,0,0,0,8,250240,0,0,0
2015-05-13,S1F0RS3B,S,0,242459616,0,0,0,7,275166,0,0,0
2015-05-15,S1F0S561,S,0,185973304,0,0,0,14,256243,0,0,0
2015-01-21,S1F0R2VP,S,0,26548112,0,0,0,12,247691,0,0,0
2015-03-02,S1F0R37Q,S,0,236069816,0,0,0,7,212528,0,0,4
2015-04-14,S1F03YZM,S,0,164153216,0,0,0,8,254114,0,0,0
2015-07-16,S1F0TP5E,S,0,45929384,0,2693,0,12,302803,0,0,2522
2015-06-11,S1F0S387,S,0,63662552,0,2,0,12,273699,0,0,34
2015-04-04,S1F0RREN,S,0,56153560,0,0,0,11,221729,0,0,1
2015-05-30,S1F13KBJ,S,0,71561256,0,0,0,13,276064,0,0,0
2015-06-26,S1F13K8E,S,0,54424472,0,0,0,12,238887,0,0,0
2015-02-07,S1F0S6B7,S,0,142583936,0,0,0,11,192272,0,0,0
2015-06-21,S1F10BRH,S,0,38376616,0,0,0,10,239424,0,0,0
2015-01-02,S1F10PED,S,0,232439608,0,0,0,5,186350,0,0,0
2015-09-09,S1F11C16,S,0,148144504,0,0,0,8,269102,0,0,0
2015-02-24,S1F10V1N,S,0,129017488,0,0,0,10,421294,0,0,0
2015-01-03,S1F0RR0C,S,0,1523560,0,0,0,12,312015,0,0,0
2015-09-22,S1F0AADQ,S,0,45718640,0,0,0,8,443737,16,16,1
2015-04-02,S1F11Y4K,S,0,80172000,0,0,0,14,326160,0,0,0
2015-06-04,S1F0S68M,S,0,111322616,0,0,0,11,239761,0,0,0
2015-02-07,S1F10V1N,S,0,11848448,0,0,0,10,421293,0,0,0
2015-02-12,S1F135DG,S,0,124904376,0,0,0,11,217540,0,0,3
2015-04-27,S1F12XGM,S,0,96150064,0,0,0,8,251391,0,0,1
2015-01-25,S1F0GCED,S,0,199385960,0,0,0,9,225083,0,0,0
2015-01-08,S1F0RSDT,S,0,1870776,0,0,0,8,194458,0,0,3
2015-03-03,S1F0JD7P,S,0,151984488,0,0,0,58,244373,0,0,0
2015-01-08,S1F0S5LP,S,0,116973984,0,21,6,8,246257,0,0,1
2015-02-05,S1F0M2PQ,S,0,33426920,0,0,6,60,243616,0,0,0
2015-02-03,S1F01XDJ,S,0,200723304,0,0,0,8,422508,0,0,0
2015-04-16,S1F0XMNV,S,0,105742144,8,0,0,7,26,0,0,0
2015-08-23,S1F0LCKH,S,0,767336,0,0,0,12,507441,0,0,0
2015-09-22,S1F131F6,S,0,54406984,0,0,0,8,286405,0,0,0
2015-06-22,S1F11Y4K,S,0,36211304,0,0,0,16,341335,0,0,0
2015-06-03,S1F10RWZ,S,0,20405864,0,0,0,13,265084,0,0,0
2015-05-23,S1F0LBY2,S,0,204047376,0,0,0,12,479957,0,0,0
2015-04-06,S1F0E9EP,S,0,155560704,0,0,0,9,244516,0,0,0
2015-07-12,S1F0CVWK,S,0,154271944,2704,0,6,8,379331,0,0,0
2015-03-13,S1F136A5,S,0,205383080,0,0,0,12,219044,0,0,0
2015-04-16,S1F0TPMF,S,0,44525552,0,0,0,6,274553,0,0,0
2015-02-08,S1F0YX6Z,S,0,138498632,0,0,0,8,212197,0,0,1
2015-04-04,S1F10QDG,S,0,10440784,0,0,0,5,228422,0,0,0
2015-01-11,S1F11CJC,S,0,84110120,0,0,0,13,240182,0,0,0
2015-07-25,S1F136BS,S,0,235395672,0,0,0,9,249118,0,0,0
2015-02-07,S1F0KYCR,S,0,165961168,0,0,0,10,227082,0,0,0
2015-03-22,S1F12788,S,0,173777632,0,0,0,11,221460,0,0,0
2015-04-02,S1F0GGPP,S,0,155178640,0,0,0,10,245482,0,0,0
2015-06-30,S1F0LD15,S,0,170611560,8,0,1,6,328696,0,0,0
2015-01-16,S1F135GA,S,0,148795792,0,0,0,8,205041,0,0,0
2015-03-26,S1F11ETS,S,0,216544824,0,0,0,11,222872,0,0,0
2015-03-06,S1F0S5B2,S,0,80227920,0,0,0,8,319721,0,0,2
2015-02-27,S1F0S4CA,S,1,150363440,712,0,69,12,207238,0,0,0
2015-07-18,S1F09DZQ,S,1,77351504,2304,0,3,7,418563,0,0,2
2015-05-21,S1F0L0DW,S,1,151755032,0,0,2,8,316174,0,0,0
2015-04-22,S1F102L8,S,0,176934896,0,0,0,9,195798,0,0,0
2015-10-17,S1F10RWZ,S,0,46175392,0,0,0,14,350450,0,0,0
2015-05-20,S1F0FW8K,S,0,112207112,0,0,0,92,249086,0,0,0
2015-06-15,S1F0AADQ,S,0,163972712,0,0,0,8,409688,0,0,1
2015-01-04,S1F0PXZL,S,0,13326392,0,0,0,8,380445,0,0,0
2015-02-20,S1F01XDJ,S,0,180679408,0,0,0,8,422512,0,0,0
2015-06-03,S1F0TP8F,S,0,154342024,0,0,0,13,332344,0,0,8
2015-07-15,S1F102L8,S,0,94673520,0,0,0,9,204152,0,0,0
2015-02-15,S1F0QY71,S,0,181754888,0,0,0,13,243799,0,0,0
2015-02-06,S1F0LD15,S,0,46847000,0,0,0,6,310268,0,0,0
2015-06-18,S1F0C95J,S,0,38559936,0,0,0,5,293474,0,0,0
2015-10-05,S1F0JGJV,S,1,13739704,0,0,18,8,343760,0,0,0
2015-08-17,S1F0KYCR,S,0,196678840,0,0,0,10,297821,0,0,0
2015-07-17,S1F135SZ,S,0,39437200,0,0,0,9,240690,0,0,0
2015-05-06,S1F0R2S6,S,0,221984936,0,0,0,11,201599,0,0,5
2015-03-30,S1F0S58D,S,0,30480152,0,0,0,12,220777,0,0,0
2015-02-15,S1F0TPH4,S,0,152687448,0,0,0,13,221893,0,0,0
2015-01-19,S1F0QY11,S,1,159635352,0,0,9,7,231336,16,16,0
2015-01-04,S1F1365W,S,0,156879568,0,0,0,11,189455,0,0,0
2015-03-09,S1F1021H,S,0,58582736,0,0,0,11,249449,0,0,0
2015-05-01,S1F0S34C,S,0,116951296,0,1331,0,13,223358,0,0,34
2015-06-07,S1F0S517,S,0,227645440,0,0,0,8,242080,0,0,0
2015-08-27,S1F0EEP2,S,0,113491688,0,0,0,17,281621,0,0,0
2015-03-25,S1F0R0PX,S,0,202445104,0,0,0,12,243793,0,0,0
2015-05-19,S1F0DKAN,S,0,81681648,0,0,0,6,286164,0,0,0
2015-05-07,S1F11XDA,S,0,4382608,0,0,0,10,214912,0,0,0
2015-07-04,S1F0X4RC,S,0,190362224,0,0,0,11,216287,0,0,0
2015-02-21,S1F10QL8,S,0,12504424,0,0,0,6,216210,0,0,0
2015-05-16,S1F118JP,S,0,216381280,0,0,0,7,213751,0,0,0
2015-08-09,S1F0S34C,S,0,136662968,0,1331,0,14,240792,0,0,34
2015-07-12,S1F0GPFZ,S,1,236544080,0,0,0,9,264594,0,0,0
2015-03-13,S1F0M2PQ,S,0,225095016,0,0,6,60,243644,0,0,0
2015-04-13,S1F102L8,S,0,100928864,0,0,0,9,194869,0,0,0
2015-04-05,S1F136BS,S,0,218188272,0,0,0,9,222081,0,0,0
2015-02-14,S1F0T24J,S,0,65641616,0,0,0,12,231611,0,0,0
2015-05-20,S1F0PJJW,S,1,193618832,0,0,0,8,270050,0,0,0
